Class,Precision,Recall,F1-Score,Support
0.0,0.8683833439738952,0.953098723139209,0.9087710181507739,64220.0
1.0,0.024844720496894408,0.002851033499643621,0.005115089514066497,1403.0
2.0,0.43660681568340054,0.22736380116401106,0.2990149946671686,10481.0
macro avg,0.44327829338473007,0.3944378526009546,0.40430036744400294,76104.0
weighted avg,0.7933684369814782,0.8356328182487123,0.8081365948614728,76104.0
