Class,Precision,Recall,F1-Score,Support
0.0,0.8666090382189976,0.9536091315941306,0.9080299340737661,64129.0
1.0,0.03977272727272727,0.005185185185185185,0.009174311926605505,1350.0
2.0,0.4394702480880433,0.22174117647058825,0.2947579131740273,10625.0
macro avg,0.44861733785992275,0.3935118310833014,0.40398738639146625,76104.0
weighted avg,0.7923083619744,0.8346079049721434,0.8064653604382359,76104.0
