Metric,Value
Training Time,0.03547430000617169
Average Prediction Time,5.124946783350725e-05
Cross Validation,83.06803847366761
Accuracy,83.09812887627457
Precision,78.34685801771967
Recall,83.09812887627457
F1 Score,79.98589257338985
