Class,Precision,Recall,F1-Score,Support
0.0,0.9431494471161209,0.9606726674258615,0.951830413378981,64103.0
1.0,0.6204318936877077,0.5452554744525547,0.5804195804195804,1370.0
2.0,0.7640016656256506,0.6903395729470416,0.7253051341602016,10631.0
macro avg,0.7758610021431598,0.7320892382751527,0.7525183759862544,76104.0
weighted avg,0.9123147588839371,0.9154315147692631,0.9135009814893402,76104.0
